"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_ELECTRONICS-PURCHASE-URL";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"DESCRIPTION";"DIGIKEY-PURCHASE-URL";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER-PURCHASE-URL";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"PACKAGE";"PRICE";
"1";"";"CAP_TANTALUMC/6032_REFLOW";"EIA6032-28/C-R";"EL4";"Tantalum Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"HEADER-1X12MM";"1X01_2MM";"JP1, JP2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"HEADER-1X17";"1X17_ROUND70";"JP8, JP9";"Header 1x17";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"HEADER-1X2ROUND";"1X02_ROUND";"JP11";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"HEADER-1X2SMT";"1X02_SMT";"JP3";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"HEADER-1X3ROUND";"1X03_ROUND";"JP10";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"INDUCTOR0805";"0805";"1L1, 1L2";"Inductors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"LED1, LED2";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";" 470R";"ERJ-1GNJ224C";"RESC0603X26N";"R3";"RES SMD 220K OHM 5% 1/20W 0201";"";"";"";"Unavailable";" ThickFilmChipResistor 0201 5%, HalogenFre 220K ohm ";"https://snapeda.com/shop?store=DigiKey&id=1030373";"";"";"";"Panasonic";"https://snapeda.com/shop?store=Mouser&id=1030373";"";"";"ERJ-1GNJ224C";"0603 Rohm Semiconductor";"None";
"1";"0.1uf";"EMK063BBJ474KPLF";"CAPC0603X33N";"C6";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0201 16VDC 0.47uF 10% X5R";"";"EMK063BBJ474KPLF";"";"";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0201 16VDC 0.47uF 10% X5R";"";"0.33mm";"TAIYO YUDEN";"EMK063BBJ474KPLF";"";"";"963-EMK063BBJ474KPLF";"https://www.mouser.co.uk/ProductDetail/Taiyo-Yuden/EMK063BBJ474KPLF?qs=u16ybLDytRZtTiiJn%2FdNyA%3D%3D";"";"";"";
"7";"0R";"ERJ-1GNJ224C";"RESC0603X26N";"1R9, 1R11, 1R12, 1R13, 1R19, R7, R8";"RES SMD 220K OHM 5% 1/20W 0201";"";"";"";"Unavailable";" ThickFilmChipResistor 0201 5%, HalogenFre 220K ohm ";"https://snapeda.com/shop?store=DigiKey&id=1030373";"";"";"";"Panasonic";"https://snapeda.com/shop?store=Mouser&id=1030373";"";"";"ERJ-1GNJ224C";"0603 Rohm Semiconductor";"None";
"9";"100k";"ERJ-1GNJ224C";"RESC0603X26N";"1R1, 1R2, 1R4, 1R6, 1R7, 1R8, 1R16, 1R17, R19";"RES SMD 220K OHM 5% 1/20W 0201";"";"";"";"Unavailable";" ThickFilmChipResistor 0201 5%, HalogenFre 220K ohm ";"https://snapeda.com/shop?store=DigiKey&id=1030373";"";"";"";"Panasonic";"https://snapeda.com/shop?store=Mouser&id=1030373";"";"";"ERJ-1GNJ224C";"0603 Rohm Semiconductor";"None";
"5";"100nf";"EMK063BBJ474KPLF";"CAPC0603X33N";"1C15, C1, C3, C4, C24";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0201 16VDC 0.47uF 10% X5R";"";"EMK063BBJ474KPLF";"";"";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0201 16VDC 0.47uF 10% X5R";"";"0.33mm";"TAIYO YUDEN";"EMK063BBJ474KPLF";"";"";"963-EMK063BBJ474KPLF";"https://www.mouser.co.uk/ProductDetail/Taiyo-Yuden/EMK063BBJ474KPLF?qs=u16ybLDytRZtTiiJn%2FdNyA%3D%3D";"";"";"";
"2";"10R";"ERJ-1GNJ224C";"RESC0603X26N";"R1, R2";"RES SMD 220K OHM 5% 1/20W 0201";"";"";"";"Unavailable";" ThickFilmChipResistor 0201 5%, HalogenFre 220K ohm ";"https://snapeda.com/shop?store=DigiKey&id=1030373";"";"";"";"Panasonic";"https://snapeda.com/shop?store=Mouser&id=1030373";"";"";"ERJ-1GNJ224C";"0603 Rohm Semiconductor";"None";
"8";"10k";"ERJ-1GNJ224C";"RESC0603X26N";"1R14, R5, R10, R14, R16, R20, R21, R22";"RES SMD 220K OHM 5% 1/20W 0201";"";"";"";"Unavailable";" ThickFilmChipResistor 0201 5%, HalogenFre 220K ohm ";"https://snapeda.com/shop?store=DigiKey&id=1030373";"";"";"";"Panasonic";"https://snapeda.com/shop?store=Mouser&id=1030373";"";"";"ERJ-1GNJ224C";"0603 Rohm Semiconductor";"None";
"7";"10pf";"EMK063BBJ474KPLF";"CAPC0603X33N";"C10, C11, C14, C16, C17, C20, C21";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0201 16VDC 0.47uF 10% X5R";"";"EMK063BBJ474KPLF";"";"";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0201 16VDC 0.47uF 10% X5R";"";"0.33mm";"TAIYO YUDEN";"EMK063BBJ474KPLF";"";"";"963-EMK063BBJ474KPLF";"https://www.mouser.co.uk/ProductDetail/Taiyo-Yuden/EMK063BBJ474KPLF?qs=u16ybLDytRZtTiiJn%2FdNyA%3D%3D";"";"";"";
"6";"10uf";"CAP_CERAMIC0402";"0402";"1C10, 1C11, 1C12, 1C13, 1C14, C2";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"120k";"ERJ-1GNJ224C";"RESC0603X26N";"R12, R13";"RES SMD 220K OHM 5% 1/20W 0201";"";"";"";"Unavailable";" ThickFilmChipResistor 0201 5%, HalogenFre 220K ohm ";"https://snapeda.com/shop?store=DigiKey&id=1030373";"";"";"";"Panasonic";"https://snapeda.com/shop?store=Mouser&id=1030373";"";"";"ERJ-1GNJ224C";"0603 Rohm Semiconductor";"None";
"1";"12k";"ERJ-1GNJ224C";"RESC0603X26N";"1R18";"RES SMD 220K OHM 5% 1/20W 0201";"";"";"";"Unavailable";" ThickFilmChipResistor 0201 5%, HalogenFre 220K ohm ";"https://snapeda.com/shop?store=DigiKey&id=1030373";"";"";"";"Panasonic";"https://snapeda.com/shop?store=Mouser&id=1030373";"";"";"ERJ-1GNJ224C";"0603 Rohm Semiconductor";"None";
"4";"1N4148WT";"1N4148WT";"SODFL1608X70N";"D1, D3, D6, D14";"Diode Switching 100V 0.125A 2-Pin SOD-523";"";"";"";"Unavailable";" Diode Standard 100V 300mA (DC) Surface Mount SOD-123 ";"";"";"";"";"Micro Commercial";"";"";"";"1N4148W+";"SOD-123 Multicomp";"None";
"1";"1k";"ERJ-1GNJ224C";"RESC0603X26N";"R18";"RES SMD 220K OHM 5% 1/20W 0201";"";"";"";"Unavailable";" ThickFilmChipResistor 0201 5%, HalogenFre 220K ohm ";"https://snapeda.com/shop?store=DigiKey&id=1030373";"";"";"";"Panasonic";"https://snapeda.com/shop?store=Mouser&id=1030373";"";"";"ERJ-1GNJ224C";"0603 Rohm Semiconductor";"None";
"1";"1uH";"INDUCTOR0805";"0805";"1L3";"Inductors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"1uf";"EMK063BBJ474KPLF";"CAPC0603X33N";"1C16, C8, C23";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0201 16VDC 0.47uF 10% X5R";"";"EMK063BBJ474KPLF";"";"";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0201 16VDC 0.47uF 10% X5R";"";"0.33mm";"TAIYO YUDEN";"EMK063BBJ474KPLF";"";"";"963-EMK063BBJ474KPLF";"https://www.mouser.co.uk/ProductDetail/Taiyo-Yuden/EMK063BBJ474KPLF?qs=u16ybLDytRZtTiiJn%2FdNyA%3D%3D";"";"";"";
"1";"220nf";"EMK063BBJ474KPLF";"CAPC0603X33N";"C7";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0201 16VDC 0.47uF 10% X5R";"";"EMK063BBJ474KPLF";"";"";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0201 16VDC 0.47uF 10% X5R";"";"0.33mm";"TAIYO YUDEN";"EMK063BBJ474KPLF";"";"";"963-EMK063BBJ474KPLF";"https://www.mouser.co.uk/ProductDetail/Taiyo-Yuden/EMK063BBJ474KPLF?qs=u16ybLDytRZtTiiJn%2FdNyA%3D%3D";"";"";"";
"1";"22R";"ERJ-1GNJ224C";"RESC0603X26N";"1R20";"RES SMD 220K OHM 5% 1/20W 0201";"";"";"";"Unavailable";" ThickFilmChipResistor 0201 5%, HalogenFre 220K ohm ";"https://snapeda.com/shop?store=DigiKey&id=1030373";"";"";"";"Panasonic";"https://snapeda.com/shop?store=Mouser&id=1030373";"";"";"ERJ-1GNJ224C";"0603 Rohm Semiconductor";"None";
